episodes,alpha,epsilon,success,AveStep,MinStep
50000,0.868,0.068,0.4965,13.587633434038269,13
50000,0.425,0.061,0.48284,13.520089470632094,13
50000,0.66,0.06580000000000016,0.50674,13.568101985238979,13
50000,0.66,0.06590000000000017,0.50648,13.568867477491708,13
50000,0.66,0.06600000000000017,0.50566,13.569631768381917,13
50000,0.66,0.06610000000000017,0.5051,13.571530390021778,13
50000,0.66,0.06620000000000018,0.50462,13.572232571043557,13
50000,0.66,0.06630000000000018,0.50414,13.57396754869679,13
50000,0.66,0.06640000000000018,0.5036,13.575694996028593,13
50000,0.66,0.06650000000000018,0.50316,13.576198425948009,13
50000,0.66,0.06660000000000019,0.50246,13.576284679377462,13
50000,0.66,0.06670000000000019,0.50192,13.577781319732228,13
50000,0.66,0.06680000000000019,0.50392,13.578742657564693,13
50000,0.66,0.0669000000000002,0.50338,13.57912511422782,13
50000,0.66,0.0670000000000002,0.50272,13.579964990451941,13
50000,0.66,0.0671000000000002,0.50182,13.578295006177514,13
50000,0.66,0.0672000000000002,0.50132,13.579031357216948,13
50000,0.66,0.0673000000000002,0.50078,13.579735612444587,13
50000,0.66,0.06740000000000021,0.5,13.58056,13
50000,0.66,0.06750000000000021,0.49954,13.582616006726187,13
50000,0.66,0.06571500000000001,0.50724,13.567068843151171,13
50000,0.66,0.06571600000000001,0.50722,13.567091203028271,13
50000,0.66,0.06571700000000001,0.5072,13.56711356466877,13
50000,0.66,0.06571800000000001,0.50718,13.567135928072874,13
50000,0.66,0.06571900000000001,0.50718,13.567135928072874,13
50000,0.66,0.06572000000000001,0.50714,13.567180660172733,13
50000,0.66,0.06572100000000002,0.50712,13.567203028868907,13
50000,0.66,0.06572200000000002,0.50712,13.567203028868907,13
50000,0.66,0.06572300000000002,0.50702,13.567157114117787,13
50000,0.66,0.06572400000000002,0.50702,13.567157114117787,13
50000,0.66,0.06572500000000002,0.50702,13.567157114117787,13
50000,0.66,0.06572600000000002,0.50702,13.567157114117787,13
50000,0.66,0.06572700000000002,0.50702,13.567157114117787,13
50000,0.66,0.06572800000000002,0.50702,13.567157114117787,13
50000,0.66,0.06572900000000002,0.50702,13.567157114117787,13
50000,0.66,0.065729,0.50702,13.567157114117787,13
50000,0.66,0.06573,0.50702,13.567157114117787,13
50000,0.66,0.065731,0.50704,13.567134742821079,13
50000,0.66,0.065732,0.50704,13.567134742821079,13
50000,0.66,0.065733,0.50704,13.567134742821079,13
50000,0.66,0.065734,0.50704,13.567134742821079,13
50000,0.66,0.065735,0.50704,13.567134742821079,13
50000,0.66,0.065736,0.50704,13.567134742821079,13
